line_number,object_name,ip_netmask,description,vendor,action,status,message
2,LAN_Dev,172.16.1.0/24,Network used by Developer,FortiGate,SKIPPED,WARNING,Object already exists
3,LAN_QA,172.17.1.0/24,Network used by QA Engg,FortiGate,SKIPPED,WARNING,Object already exists
4,LAN_SRV,192.16.1.0/24,Server hosted LAN,FortiGate,SKIPPED,WARNING,Object already exists
5,,11.1.1.0/24,Cloud public Ip for the DEv-app,FortiGate,INVALID,ERROR,object_name is missing
6,SHared_Asset,172.23.44.256/32,Common shared printer,FortiGate,INVALID,ERROR,ip_netmask format is invalid
7,LAB_LAN,192.168.1.0/24,Lab user LAN network,FortiGate,SKIPPED,WARNING,Object already exists
8,LAB_LAN2,192.168.1.10/24,Lab user LAN network,FortiGate,SKIPPED,WARNING,Object already exists
9,LAB_LAN3,192.168.3.0/24,Lab user LAN network,FortiGate,SKIPPED,WARNING,Object already exists
10,LAB_LAN4,192.168.4.0/24,Lab user LAN network,FortiGate,SKIPPED,WARNING,Object already exists
11,PA-APP01,10.10.10.10/32,Integrated workflow app server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
12,PA-APP02,10.10.20.10/32,Integrated workflow database server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
13,PA-DB01,10.10.30.10/32,Missing object name,FortiGate,CREATED,SUCCESS,Object created and verified successfully
14,PA-WEB01,10.10.99.999/32,Invalid IP row,FortiGate,INVALID,ERROR,ip_netmask format is invalid
15,PA-WEB02,10.10.40.0/24,Integrated workflow web subnet,FortiGate,CREATED,SUCCESS,Object created and verified successfully
16,PA-BACKUP01,10.10.50.10/32,Integrated workflow backup server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
17,PA-BACKUP02,10.10.60.10/32,Integrated workflow backup server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
18,APP01,20.10.10.10/32,Integrated workflow app server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
19,APP02,20.10.20.10/32,Integrated workflow database server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
20,DB01,20.10.30.10/32,Missing object name,FortiGate,CREATED,SUCCESS,Object created and verified successfully
21,WEB01,20.10.99.999/32,Invalid IP row,FortiGate,INVALID,ERROR,ip_netmask format is invalid
22,WEB02,20.10.40.0/24,Integrated workflow web subnet,FortiGate,CREATED,SUCCESS,Object created and verified successfully
23,BACKUP01,20.10.50.10/32,Integrated workflow backup server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
24,BACKUP02,20.10.60.10/32,Integrated workflow backup server,FortiGate,CREATED,SUCCESS,Object created and verified successfully
